Program,Service,Activity,Expense/Revenue,Category Name,Sub-Category Name,Commitment item,Amount,Year
Office of the Controller,RS-Utility Billing,RS-Meter Reading Operations,Expenses,Service And Rent,Meetings,Bus. Meeting Exp,319.97,2024
Office of the Controller,RS-Utility Billing,RS-Meter Reading Operations,Expenses,Service And Rent,Postage,Postage,"209,917.25",2024
Office of the Controller,RS-Utility Billing,RS-Meter Reading Operations,Expenses,Service And Rent,Rentals,Pager/Radio Rentals,43.78,2024
Office of the Controller,RS-Utility Billing,RS-Meter Reading Operations,Expenses,Service And Rent,Repair & Maintenance,Rep & Maint - Other,"1,196.11",2024
Office of the Controller,RS-Utility Billing,RS-Meter Reading Operations,Expenses,Service And Rent,Services,Member Fees,349.16,2024
Office of the Controller,RS-Utility Billing,RS-Meter Reading Operations,Expenses,Service And Rent,Services,Online Services Fees,"1,361.43",2024
Office of the Controller,RS-Utility Billing,RS-Meter Reading Operations,Expenses,Service And Rent,Services,Other Expenses,351.29,2024
Office of the Controller,RS-Utility Billing,RS-Meter Reading Operations,Expenses,Service And Rent,Services,Other Prof/Tech Serv,"5,844.36",2024
Office of the Controller,RS-Utility Billing,RS-Meter Reading Operations,Expenses,Service And Rent,Services,Print & Rep -3Rd Par,"35,306.35",2024
Office of the Controller,RS-Utility Billing,RS-Meter Reading Operations,Expenses,Service And Rent,Telecommnuncation,Cellular Phones,"2,594.99",2024
Office of the Controller,RS-Utility Billing,RS-Meter Reading Operations,Expenses,Service And Rent,Telecommnuncation,Courier Services,"1,507.61",2024
Office of the Controller,RS-Utility Billing,RS-Meter Reading Operations,Expenses,Service And Rent,Telecommnuncation,Megalinks,"16,786.36",2024
Office of the Controller,RS-Utility Billing,RS-Meter Reading Operations,Expenses,Service And Rent,Training,Train/Dev - External,"2,914.88",2024
Office of the Controller,RS-Utility Billing,RS-Meter Reading Operations,Expenses,Service And Rent,Training,Tuition Fees,245.53,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Benefits,Benefits,Comprehensive Med,"11,741.88",2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Benefits,Benefits,CPP,"18,476.88",2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Benefits,Benefits,Dental Plan,"5,858.88",2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Benefits,Benefits,EI,"5,894.88",2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Benefits,Benefits,Life Insurance,"2,417.52",2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Benefits,Benefits,LTD,"10,396.44",2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Benefits,Benefits,OMERS Pension,"33,352.85",2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Benefits,Benefits,Ont Health Tax,"6,620.88",2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Equipment,Computes,Comp - Software,894.48,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Equipment,Equipment,M & E - Office,170.96,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Materials & Supplies,Office Supplies,Books & Magazines,82.89,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Materials & Supplies,Office Supplies,Other Office Materl,111.84,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Materials & Supplies,Office Supplies,Phot Fax & Print Sup,635.88,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Materials & Supplies,Office Supplies,Stationery And Off,93.21,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Materials & Supplies,Supplies,Misc Materials,68.19,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Salaries,Permanent Salaries,Full Time Reg Py Sap,"339,536.40",2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Business Travel,Bus Trav - Other Exp,34.21,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Business Travel,Bus Trav - Pub Trans,36.42,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Conference,Conf/Sem - Other Exp,17.76,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Conference,Conf/Sem - Regist Fe,272.50,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Contracted Services,Comp Software Main,"1,257.37",2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Contracted Services,Contr Srv - Cable Tv,14.96,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Contracted Services,Contr Srv - General,435.62,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Contracted Services,Managed Print Charge,400.00,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,General Travel,Metrage -Op (Intown),33.47,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,General Travel,Parking Exp (Intown),20.85,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Meetings,Bus. Meeting Exp,64.02,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Rentals,Pager/Radio Rentals,8.71,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Repair & Maintenance,Rep & Maint - Other,239.27,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Services,Member Fees,68.69,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Services,Online Services Fees,272.38,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Services,Other Expenses,68.31,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Services,Other Prof/Tech Serv,"1,168.87",2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Telecommnuncation,Cellular Phones,163.20,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Telecommnuncation,Courier Services,493.00,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Telecommnuncation,Megalinks,204.44,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Training,Train/Dev - External,89.64,2024
Office of the Controller,RS-Utility Billing,RS-Solid Waste Billings,Expenses,Service And Rent,Training,Tuition Fees,48.45,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Benefits,Benefits,Comprehensive Med,"55,652.76",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Benefits,Benefits,CPP,"36,673.20",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Benefits,Benefits,Dental Plan,"27,433.68",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Benefits,Benefits,EI,"13,483.44",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Benefits,Benefits,Life Insurance,"6,048.48",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Benefits,Benefits,LTD,"23,975.88",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Benefits,Benefits,OMERS Pension,"87,668.00",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Benefits,Benefits,Ont Health Tax,"16,565.28",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Equipment,Computes,Comp - Hardware,"5,138.00",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Equipment,Computes,Comp - Software,"3,130.67",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Equipment,Equipment,M & E - Office,"6,119.21",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Materials & Supplies,Office Supplies,Books & Magazines,293.11,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Materials & Supplies,Office Supplies,Other Office Materl,"3,529.17",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Materials & Supplies,Office Supplies,Phot Fax & Print Sup,"2,225.57",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Materials & Supplies,Office Supplies,Stationery And Off,"2,065.87",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Materials & Supplies,Supplies,Misc Materials,240.85,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Salaries,Permanent Salaries,Full Time Reg Py Sap,"849,486.84",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Business Travel,Bus Trav - Other Exp,121.30,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Business Travel,Bus Trav - Pub Trans,738.56,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Conference,Conf/Sem - Other Exp,63.32,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Conference,Conf/Sem - Regist Fe,963.83,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Contracted Services,Comp Software Main,"4,399.23",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Contracted Services,Contr Srv - Cable Tv,52.14,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Contracted Services,Contr Srv - General,"1,524.54",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Contracted Services,Managed Print Charge,"1,400.00",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,General Travel,Metrage -Op (Intown),263.70,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,General Travel,Parking Exp (Intown),164.69,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Meetings,Bus. Meeting Exp,223.94,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Postage,Postage,"1,116,501.30",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Rentals,Pager/Radio Rentals,30.66,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Repair & Maintenance,Rep & Maint - Other,837.26,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Services,Member Fees,243.41,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Services,Online Services Fees,953.04,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Services,Other Expenses,243.93,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Services,Other Prof/Tech Serv,"4,091.05",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Services,Print & Rep -3Rd Par,"117,807.26",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Telecommnuncation,Cellular Phones,581.16,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Telecommnuncation,Courier Services,"1,050.67",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Telecommnuncation,Megalinks,715.36,2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Training,Train/Dev - External,"1,998.81",2024
Office of the Controller,RS-Utility Billing,RS-Water Billings,Expenses,Service And Rent,Training,Tuition Fees,171.21,2024
Office of the Controller,TR-Financial Control & Process Improvement,Not assigned,Expenses,Benefits,Benefits,Comprehensive Med,"39,344.64",2024
Office of the Controller,TR-Financial Control & Process Improvement,Not assigned,Expenses,Benefits,Benefits,CPP,"36,072.00",2024
Office of the Controller,TR-Financial Control & Process Improvement,Not assigned,Expenses,Benefits,Benefits,Dental Plan,"22,890.00",2024
Office of the Controller,TR-Financial Control & Process Improvement,Not assigned,Expenses,Benefits,Benefits,EI,"12,569.76",2024
Office of the Controller,TR-Financial Control & Process Improvement,Not assigned,Expenses,Benefits,Benefits,Life Insurance,"8,955.00",2024
Office of the Controller,TR-Financial Control & Process Improvement,Not assigned,Expenses,Benefits,Benefits,LTD,"19,368.60",2024
Office of the Controller,TR-Financial Control & Process Improvement,Not assigned,Expenses,Benefits,Benefits,OMERS Pension,"149,505.20",2024
Office of the Controller,TR-Financial Control & Process Improvement,Not assigned,Expenses,Benefits,Benefits,Ont Health Tax,"24,524.88",2024
Office of the Controller,TR-Financial Control & Process Improvement,Not assigned,Expenses,Salaries,Permanent Salaries,Full Time Reg Py Sap,"1,257,703.92",2024
Office of the Controller,TR-Financial Control & Process Improvement,Not assigned,Expenses,Salaries,Vacancy Adjustments,Vacancy Adjustments,"(10,147.00)",2024
Office of the Controller,TR-Financial Control & Process Improvement,Not assigned,Expenses,Service And Rent,Services,Member Fees,"2,900.00",2024
Office of the Controller,TR-Financial Control & Process Improvement,Not assigned,Expenses,Service And Rent,Telecommnuncation,Cellular Phones,800.00,2024
Office of the Controller,TR-Financial Control & Process Improvement,Not assigned,Expenses,Service And Rent,Telecommnuncation,Wireless Devices,501.04,2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Benefits,Benefits,Comprehensive Med,"377,187.84",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Benefits,Benefits,CPP,"380,760.00",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Benefits,Benefits,Dental Plan,"214,143.00",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Benefits,Benefits,EI,"133,413.36",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Benefits,Benefits,Life Insurance,"71,325.84",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Benefits,Benefits,LTD,"168,749.56",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Benefits,Benefits,OMERS Pension,"1,178,120.87",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Benefits,Benefits,Ont Health Tax,"215,066.92",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Equipment,Computes,Comp - Hardware,"2,540.65",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Equipment,Computes,Comp - Software,140.45,2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Materials & Supplies,Medical Supplies,Med & Den Supplies,109.00,2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Materials & Supplies,Office Supplies,Books & Magazines,834.50,2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Materials & Supplies,Office Supplies,Other Office Materl,"1,711.79",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Materials & Supplies,Office Supplies,Phot Fax & Print Sup,"3,153.00",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Materials & Supplies,Office Supplies,Stationery And Off,"1,571.22",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Materials & Supplies,Supplies,Presentation Items,532.00,2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Salaries,Permanent Salaries,Full Time Reg Py Sap,"11,029,156.41",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Business Travel,Bus Trav - Air Trans,"2,362.81",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Business Travel,Bus Trav - Other Exp,"3,583.00",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Business Travel,Bustrav - Gr. Trans,43.00,2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Conference,Conf/Sem - Other Exp,586.52,2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Conference,Conf/Sem - Regist Fe,"5,937.21",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Conference,Conf/Semin - Accomd,"1,265.84",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Conference,Conf/Semin -Air/Rai,"2,529.55",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Contracted Services,Advertising & Promo,83.00,2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Contracted Services,Comp Hardware Main,460.00,2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Contracted Services,Managed Print Charge,"1,914.29",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Contracted Services,Transportation-Taxis,214.00,2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Food & Beverage,Meals(Non-Trav),311.14,2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,General Travel,Metrage -Op (Intown),690.81,2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,General Travel,Parking Exp (Intown),288.61,2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Meetings,Bus. Meeting Exp,"1,970.00",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Rentals,Pager/Radio Rentals,111.00,2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Repair & Maintenance,Rep & Maint - Other,209.00,2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Services,Member Fees,"2,343.99",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Services,Other Expenses,"1,122.77",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Services,Other Prof/Tech Serv,"13,849.99",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Telecommnuncation,Cellular Phones,"4,683.34",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Training,Train/Dev - External,"5,589.38",2024
Office of the Controller,TR-Office of the Controller,Not assigned,Expenses,Service And Rent,Training,Tuition Fees,780.57,2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Benefits,Benefits,Comprehensive Med,"29,816.25",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Benefits,Benefits,CPP,"33,066.00",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Benefits,Benefits,Dental Plan,"17,313.75",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Benefits,Benefits,EI,"10,257.25",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Benefits,Benefits,Life Insurance,"7,054.43",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Benefits,Benefits,LTD,"15,258.19",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Benefits,Benefits,OMERS Pension,"113,569.58",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Benefits,Benefits,Ont Health Tax,"19,320.45",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Materials & Supplies,Materials,Janitorial Supplies,112.98,2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Materials & Supplies,Office Supplies,Books & Magazines,"5,164.14",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Materials & Supplies,Office Supplies,Other Office Materl,215.18,2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Materials & Supplies,Office Supplies,Phot Fax & Print Sup,537.93,2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Materials & Supplies,Office Supplies,Stationery And Off,"1,075.86",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Materials & Supplies,Supplies,Misc Materials,112.98,2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Materials & Supplies,Supplies,Presentation Items,338.95,2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Salaries,Permanent Salaries,Full Time Reg Py Sap,"990,791.78",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Business Travel,Bus Trav - Accom,542.33,2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Business Travel,Bus Trav - Air Trans,423.70,2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Business Travel,Bustrav - Gr. Trans,423.70,2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Conference,Conf/Sem - Other Exp,564.92,2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Conference,Conf/Sem - Regist Fe,"5,649.24",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Conference,Conf/Semin - Accomd,"1,694.77",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Conference,Conf/Semin -Air/Rai,"1,694.77",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Conference,Conf/Semin -Grd Tran,338.95,2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Contracted Services,Comp Software Main,"32,911.51",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Contracted Services,Managed Print Charge,"1,129.85",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Meetings,Bus. Meeting Exp,338.95,2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Professtional & Consulting,Prof Srv - Legal,"46,434.39",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Services,Conduct Money,"1,129.85",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Services,Investigative Expens,"12,428.33",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Services,Member Fees,"3,841.49",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Services,Other Prof/Tech Serv,"20,615.51",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Services,Process Server Fees,"1,129.85",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Services,Tech Srv Transl/Int,"1,355.82",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Telecommnuncation,Cellular Phones,"1,868.12",2024
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Not assigned,Expenses,Service And Rent,Training,Train/Dev - External,"2,824.63",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Benefits,Benefits,Comprehensive Med,"97,920.00",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Benefits,Benefits,CPP,"96,192.00",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Benefits,Benefits,Dental Plan,"56,931.00",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Benefits,Benefits,EI,"29,664.00",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Benefits,Benefits,Life Insurance,"20,401.39",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Benefits,Benefits,LTD,"44,126.64",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Benefits,Benefits,OMERS Pension,"327,354.55",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Benefits,Benefits,Ont Health Tax,"55,874.59",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Equipment,Computes,Comp - Hardware,"3,748.95",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Equipment,Computes,Comp - Software,"1,308.54",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Materials & Supplies,Office Supplies,Books & Magazines,"1,500.01",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Materials & Supplies,Office Supplies,Health-Safety Sup,250.00,2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Materials & Supplies,Office Supplies,Other Office Materl,223.12,2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Materials & Supplies,Office Supplies,Phot Fax & Print Sup,250.00,2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Materials & Supplies,Office Supplies,Stationery And Off,"2,231.23",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Materials & Supplies,Supplies,Misc Materials,122.73,2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Materials & Supplies,Supplies,Presentation Items,360.96,2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Salaries,Permanent Salaries,Full Time Reg Py Sap,"2,865,365.39",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Service And Rent,Business Travel,Bus Trav - Pub Trans,261.71,2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Service And Rent,Conference,Conf/Sem - Regist Fe,"6,399.60",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Service And Rent,Contracted Services,Advertising & Promo,"7,069.57",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Service And Rent,Contracted Services,Comp Software Main,"75,265.94",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Service And Rent,Contracted Services,Managed Print Charge,"1,500.00",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Service And Rent,Contracted Services,Transportation-Taxis,261.71,2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Service And Rent,General Travel,Metrage -Op (Intown),601.60,2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Service And Rent,General Travel,Parking Exp (Intown),278.21,2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Service And Rent,Meetings,Bus. Meeting Exp,360.96,2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Service And Rent,Services,Investigative Expens,"48,621.94",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Service And Rent,Services,Member Fees,"3,000.00",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Service And Rent,Services,Other Expenses,"2,356.50",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Service And Rent,Services,Other Prof/Tech Serv,"34,593.70",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Service And Rent,Services,Tech Srv Transl/Int,"1,281.39",2024
Office of the Ombudsman,Office of the Ombudsman,Not assigned,Expenses,Service And Rent,Telecommnuncation,Cellular Phones,"2,850.00",2024
